iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,event_codes
BGD,Bangladesh,2008,2008-07-01,Month,2008-07-01,Month,Bangladesh: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,2250,2200,,,
BGD,Bangladesh,2008,2008-08-16,Day,2008-08-16,Day,Bangladesh: Landslide/Wet mass movement - 16/08/2008,2,Weather related,3,Hydrological,11,Mass Movement,15,,1657,1700,,,
BGD,Bangladesh,2008,2008-08-30,Day,2008-09-08,Day,Bangladesh: Flood - 30/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,57440,57000,,,
BGD,Bangladesh,2009,2009-01-01,Month,,,Bangladesh: Flood - 01/01/2009,2,Weather related,3,Hydrological,10,Flood,13,,500000,500000,,,
BGD,Bangladesh,2009,2009-01-01,Month,,,Cyclone 'aila',2,Weather related,4,Meteorological,14,Storm,21,,842000,842000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Flood - 01/01/2010,2,Weather related,3,Hydrological,10,Flood,13,,12000,12000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Flood - 01/01/2010,2,Weather related,3,Hydrological,10,Flood,13,,500000,500000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Landslide/Wet mass movement - 01/01/2010,2,Weather related,3,Hydrological,11,Mass Movement,15,,12000,12000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Storm - 01/01/2010,2,Weather related,4,Meteorological,14,Storm,21,,45000,45000,,,
BGD,Bangladesh,2011,2011-01-01,Month,,,Bangladesh: Flood - 01/01/2011,2,Weather related,3,Hydrological,10,Flood,13,,400000,400000,,,
BGD,Bangladesh,2012,2012-01-01,Month,,,Bangladesh: Flood - 01/01/2012,2,Weather related,3,Hydrological,10,Flood,13,,600000,600000,,,
BGD,Bangladesh,2012,2012-01-01,Month,,,Bangladesh: Storm - 01/01/2012,2,Weather related,4,Meteorological,14,Storm,21,,50788,51000,,,
BGD,Bangladesh,2013,2013-03-23,Day,2013-03-01,Month,Brahmanbaria tornado,2,Weather related,4,Meteorological,14,Storm,21,,37149,37000,,,
BGD,Bangladesh,2013,2013-05-16,Day,2013-05-01,Month,Cyclone mahasen,2,Weather related,4,Meteorological,14,Storm,21,,1100000,1100000,,,
BGD,Bangladesh,2013,2013-06-01,Day,2013-08-30,Day,Erosion following floods in kurigram district,2,Weather related,3,Hydrological,10,Flood,13,,14280,14000,,,
BGD,Bangladesh,2013,2013-07-01,Day,2013-07-30,Day,"Thakurgaon, gaibandha, dinajpur panchagarh, nilphamari, lalmoirhat, kurigram, jamalpur and sirajgonj july floods",2,Weather related,3,Hydrological,10,Flood,13,,8400,8400,,,
BGD,Bangladesh,2014,2014-04-27,Day,2014-04-28,Day,Netrokona thunderstorm,2,Weather related,4,Meteorological,14,Storm,21,,1000,1000,,,
BGD,Bangladesh,2014,2014-08-13,Day,2014-09-30,Day,North-west floods,2,Weather related,3,Hydrological,10,Flood,13,,542000,542000,,,
BGD,Bangladesh,2015,2015-04-05,Day,2015-04-08,Day,Bogra nor'wester,2,Weather related,4,Meteorological,14,Storm,21,,95201,95000,,,
BGD,Bangladesh,2015,2015-04-25,Day,2015-04-25,Day,Gorkha earthquake - repercussions in bangladesh,1,Geophysical,1,Geophysical,1,Earthquake,1,,100,100,,,
BGD,Bangladesh,2015,2015-06-17,Day,2015-06-30,Day,Northern districts flash floods,2,Weather related,3,Hydrological,10,Flood,13,,96398,96000,,,
BGD,Bangladesh,2015,2015-07-30,Day,2015-08-02,Day,Cyclone komen,2,Weather related,4,Meteorological,14,Storm,24,,331000,331000,,,
BGD,Bangladesh,2015,2015-08-18,Day,2015-08-21,Day,Sylhet district flash floods,2,Weather related,3,Hydrological,10,Flood,13,,8400,8400,,,
BGD,Bangladesh,2016,2016-05-17,Day,2016-05-23,Day,Bangladesh; Sri Lanka: Tropical cyclone Roanu - 17/05/2016,2,Weather related,4,Meteorological,14,Storm,24,,496260,496000,,,
BGD,Bangladesh,2016,2016-07-25,Week,2016-08-11,Week,Bangladesh: Monsoon floods - 25/07/2016,2,Weather related,3,Hydrological,10,Flood,13,,83850,84000,,,FL-2016-000075-BGD
BGD,Bangladesh,2016,2016-08-14,Day,2016-08-24,Day,Indonesia: Floods - Jessore - 14/08/2016,2,Weather related,3,Hydrological,10,Flood,13,,33600,34000,,,
BGD,Bangladesh,2017,2017-03-28,Day,2017-04-17,Day,"Bangladesh : Riverbanck erosion - Sirajganj , Shariatpur - 12/04/2017",2,Weather related,2,Climatological,6,Erosion,8,,630,630,,,
BGD,Bangladesh,2017,2017-03-28,Day,2017-04-30,Week,"Bangladesh : Northeast Floods - Sylhet, Moulvibazar, Sunamganj, Habiganj, Netrokona, Kishoreganj - 28/03/2017",2,Weather related,3,Hydrological,10,Flood,13,,12012,12000,,,
BGD,Bangladesh,2017,2017-04-03,Day,2017-04-30,Day,Bangladesh: Pabna  and Sunamganj Tornado - 03/04/2017,2,Weather related,4,Meteorological,14,Storm,23,,12117,12000,,,
BGD,Bangladesh,2017,2017-05-28,Day,2017-05-31,Day,Bangladesh; India; Myanmar : Tropical cyclone Mora  - 28/05/2017,2,Weather related,4,Meteorological,14,Storm,24,,477669,478000,,,TC-2017-000058-BGD
